"Number","RegionKo","RegionEn","SportKo","SportEn","Color","File"
"01","춘천","CHUNCHEON","산악","MOUNTAIN","#2F6B4F","01-chuncheon-mountain.svg"
"02","춘천","CHUNCHEON","수상","WATER","#2E78B7","02-chuncheon-water.svg"
"03","춘천","CHUNCHEON","설상","SNOW","#5C9FCB","03-chuncheon-snow.svg"
"04","춘천","CHUNCHEON","올림픽","OLYMPIC","#7A58A6","04-chuncheon-olympic.svg"
"05","춘천","CHUNCHEON","육상","ATHLETICS","#B94E32","05-chuncheon-athletics.svg"
"06","원주","WONJU","산악","MOUNTAIN","#2F6B4F","06-wonju-mountain.svg"
"07","원주","WONJU","수상","WATER","#2E78B7","07-wonju-water.svg"
"08","원주","WONJU","설상","SNOW","#5C9FCB","08-wonju-snow.svg"
"09","원주","WONJU","올림픽","OLYMPIC","#7A58A6","09-wonju-olympic.svg"
"10","원주","WONJU","육상","ATHLETICS","#B94E32","10-wonju-athletics.svg"
"11","강릉","GANGNEUNG","산악","MOUNTAIN","#2F6B4F","11-gangneung-mountain.svg"
"12","강릉","GANGNEUNG","수상","WATER","#2E78B7","12-gangneung-water.svg"
"13","강릉","GANGNEUNG","설상","SNOW","#5C9FCB","13-gangneung-snow.svg"
"14","강릉","GANGNEUNG","올림픽","OLYMPIC","#7A58A6","14-gangneung-olympic.svg"
"15","강릉","GANGNEUNG","육상","ATHLETICS","#B94E32","15-gangneung-athletics.svg"
"16","동해","DONGHAE","산악","MOUNTAIN","#2F6B4F","16-donghae-mountain.svg"
"17","동해","DONGHAE","수상","WATER","#2E78B7","17-donghae-water.svg"
"18","동해","DONGHAE","설상","SNOW","#5C9FCB","18-donghae-snow.svg"
"19","동해","DONGHAE","올림픽","OLYMPIC","#7A58A6","19-donghae-olympic.svg"
"20","동해","DONGHAE","육상","ATHLETICS","#B94E32","20-donghae-athletics.svg"
"21","태백","TAEBAEK","산악","MOUNTAIN","#2F6B4F","21-taebaek-mountain.svg"
"22","태백","TAEBAEK","수상","WATER","#2E78B7","22-taebaek-water.svg"
"23","태백","TAEBAEK","설상","SNOW","#5C9FCB","23-taebaek-snow.svg"
"24","태백","TAEBAEK","올림픽","OLYMPIC","#7A58A6","24-taebaek-olympic.svg"
"25","태백","TAEBAEK","육상","ATHLETICS","#B94E32","25-taebaek-athletics.svg"
"26","속초","SOKCHO","산악","MOUNTAIN","#2F6B4F","26-sokcho-mountain.svg"
"27","속초","SOKCHO","수상","WATER","#2E78B7","27-sokcho-water.svg"
"28","속초","SOKCHO","설상","SNOW","#5C9FCB","28-sokcho-snow.svg"
"29","속초","SOKCHO","올림픽","OLYMPIC","#7A58A6","29-sokcho-olympic.svg"
"30","속초","SOKCHO","육상","ATHLETICS","#B94E32","30-sokcho-athletics.svg"
"31","삼척","SAMCHEOK","산악","MOUNTAIN","#2F6B4F","31-samcheok-mountain.svg"
"32","삼척","SAMCHEOK","수상","WATER","#2E78B7","32-samcheok-water.svg"
"33","삼척","SAMCHEOK","설상","SNOW","#5C9FCB","33-samcheok-snow.svg"
"34","삼척","SAMCHEOK","올림픽","OLYMPIC","#7A58A6","34-samcheok-olympic.svg"
"35","삼척","SAMCHEOK","육상","ATHLETICS","#B94E32","35-samcheok-athletics.svg"
"36","홍천","HONGCHEON","산악","MOUNTAIN","#2F6B4F","36-hongcheon-mountain.svg"
"37","홍천","HONGCHEON","수상","WATER","#2E78B7","37-hongcheon-water.svg"
"38","홍천","HONGCHEON","설상","SNOW","#5C9FCB","38-hongcheon-snow.svg"
"39","홍천","HONGCHEON","올림픽","OLYMPIC","#7A58A6","39-hongcheon-olympic.svg"
"40","홍천","HONGCHEON","육상","ATHLETICS","#B94E32","40-hongcheon-athletics.svg"
